Type,x1,x2,x3,x4,x5
1,8.11,251.01,13.23,5.46,7.31
1,9.36,185.39,9.02,5.66,5.99
1,9.85,249.58,15.61,6.06,6.11
1,2.55,137.13,9.21,6.11,4.35
1,6.01,231.34,14.27,5.21,8.79
1,9.64,231.38,13.03,4.86,8.53
1,4.11,260.25,14.72,5.36,10.03
1,8.9,259.51,14.16,4.91,9.79
1,7.71,273.84,16.01,5.15,8.79
1,7.51,303.59,19.14,5.7,8.53
1,8.06,231.03,14.41,5.72,6.15
2,6.8,308.9,15.11,5.52,8.49
2,8.68,258.69,14.02,4.79,7.16
2,5.67,255.54,15.13,4.97,9.43
2,8.1,476.69,7.38,5.32,11.32
2,3.71,316.12,17.12,6.04,8.17
2,5.37,274.57,16.75,4.98,9.67
3,5.22,330.34,18.19,4.96,9.61
3,4.71,331.47,21.26,4.3,13.72
3,4.71,352.5,20.79,5.07,11
3,3.36,347.31,17.9,4.65,11.19
3,8.27,189.59,12.74,5.46,6.94
