Obs,protein
1,74.3
2,78.8
3,68.8
4,78
5,70.4
6,80.5
7,80.5
8,69.7
9,79.5
10,75.6
11,75
12,78.8
13,72
14,72
15,72
16,74.3
17,75
18,73.5
19,78.8
20,74.3
21,75.8
22,65
23,74.3
24,71.2
25,73.5
26,75
27,72
28,64.3
29,75.8
30,80.3
31,69.7
32,74.3
33,75.8
34,75.8
35,68.8
36,76.5
37,70.4
38,71.2
39,81.2
40,75
41,74
42,72
43,76.5
44,74.3
45,76.5
46,77.6
47,67.3
48,72
49,73.5
50,79.5
51,73.5
52,74.7
53,65
54,76.5
55,81.6
56,75.4
57,75.8
58,73.5
59,75
60,72.7
61,70.4
62,77.2
63,68.8
64,67.3
65,75.8
66,73.5
67,75
68,72.7
69,73.5
70,72.7
71,81.6
72,73.5
73,75
74,72.7
75,70.4
76,76.5
77,72.7
78,77.2
79,84.3
80,75
81,71.2
82,71.2
83,69.7
84,73.5
85,70.4
86,75
87,72.7
88,67.3
89,70.3
90,76.5
91,73.5
92,78
93,68
94,73.5
95,68
96,73.5
97,68
98,74.3
99,72.7
100,73.7
