product,month,sales
1,1,21
1,2,23
1,3,25
1,4,28
1,5,31
1,6,34
1,7,37
1,8,41
1,9,45
1,10,50
1,11,54
1,12,60
2,1,22
2,2,25
2,3,29
2,4,33
2,5,38
2,6,44
2,7,51
2,8,59
2,9,67
2,10,77
2,11,89
2,12,102
3,1,23
3,2,28
3,3,33
3,4,40
3,5,48
3,6,57
3,7,69
3,8,82
3,9,99
3,10,119
3,11,142
3,12,171
4,1,24
4,2,30
4,3,38
4,4,47
4,5,59
4,6,73
4,7,92
4,8,114
4,9,143
4,10,179
4,11,224
4,12,279
5,1,25
5,2,33
5,3,42
5,4,55
5,5,71
5,6,93
5,7,121
5,8,157
5,9,204
5,10,265
5,11,345
5,12,448
